ts,time,strategy,cash,qty,mark,mark_source,cost_basis,realized_pnl,unrealized_pnl,fees_cum,nav,exposure_pct,peak_nav,drawdown_pct,data_status,schema
1789996669,2026-09-21 13:17 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,85087.3,quote_mid,71002.51,0.0,3942.44,70.93,103942.44,72.1,104053.31,-0.107,ok,1
1789996669,2026-09-21 13:17 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,85087.3,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1789996669,2026-09-21 13:17 UTC,funding_z168_limit_entry_v1,100000.0,0.0,85087.3,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790000312,2026-09-21 14:18 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,85387.11,quote_mid,71002.51,0.0,4206.52,70.93,104206.52,72.17,104206.52,0.0,ok,1
1790000312,2026-09-21 14:18 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,85387.11,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790000312,2026-09-21 14:18 UTC,funding_z168_limit_entry_v1,100000.0,0.0,85387.11,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790003788,2026-09-21 15:16 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86171.42,quote_mid,71002.51,0.0,4897.34,70.93,104897.34,72.36,104897.34,0.0,ok,1
1790003788,2026-09-21 15:16 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86171.42,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790003788,2026-09-21 15:16 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86171.42,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790007541,2026-09-21 16:19 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,85777.01,quote_mid,71002.51,0.0,4549.93,70.93,104549.93,72.26,104897.34,-0.331,ok,1
1790007541,2026-09-21 16:19 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,85777.01,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790007541,2026-09-21 16:19 UTC,funding_z168_limit_entry_v1,100000.0,0.0,85777.01,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790010910,2026-09-21 17:15 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,85970.92,quote_mid,71002.51,0.0,4720.73,70.93,104720.73,72.31,104897.34,-0.168,ok,1
1790010910,2026-09-21 17:15 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,85970.92,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790010910,2026-09-21 17:15 UTC,funding_z168_limit_entry_v1,100000.0,0.0,85970.92,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790014824,2026-09-21 18:20 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86064.76,quote_mid,71002.51,0.0,4803.39,70.93,104803.39,72.33,104897.34,-0.09,ok,1
1790014824,2026-09-21 18:20 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86064.76,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790014824,2026-09-21 18:20 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86064.76,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790018170,2026-09-21 19:16 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86046.64,quote_mid,71002.51,0.0,4787.43,70.93,104787.43,72.33,104897.34,-0.105,ok,1
1790018170,2026-09-21 19:16 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86046.64,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790018170,2026-09-21 19:16 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86046.64,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790021858,2026-09-21 20:17 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86732.95,quote_mid,71002.51,0.0,5391.92,70.93,105391.92,72.49,105391.92,0.0,ok,1
1790021858,2026-09-21 20:17 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86732.95,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790021858,2026-09-21 20:17 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86732.95,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790025422,2026-09-21 21:17 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86638.21,quote_mid,71002.51,0.0,5308.48,70.93,105308.48,72.46,105391.92,-0.079,ok,1
1790025422,2026-09-21 21:17 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86638.21,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790025422,2026-09-21 21:17 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86638.21,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790029052,2026-09-21 22:17 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86697.7,quote_mid,71002.51,0.0,5360.87,70.93,105360.87,72.48,105391.92,-0.029,ok,1
1790029052,2026-09-21 22:17 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86697.7,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790029052,2026-09-21 22:17 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86697.7,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790032612,2026-09-21 23:16 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86602.46,quote_mid,71002.51,0.0,5277.0,70.93,105277.0,72.46,105391.92,-0.109,ok,1
1790032612,2026-09-21 23:16 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86602.46,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790032612,2026-09-21 23:16 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86602.46,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790036647,2026-09-22 00:24 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,86360.9,quote_mid,71002.51,0.0,5064.23,70.93,105064.23,72.4,105391.92,-0.311,ok,1
1790036647,2026-09-22 00:24 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,86360.9,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790036647,2026-09-22 00:24 UTC,funding_z168_limit_entry_v1,100000.0,0.0,86360.9,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790039777,2026-09-22 01:16 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,85826.51,quote_mid,71002.51,0.0,4593.53,70.93,104593.53,72.28,105391.92,-0.758,ok,1
1790039777,2026-09-22 01:16 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,85826.51,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790039777,2026-09-22 01:16 UTC,funding_z168_limit_entry_v1,100000.0,0.0,85826.51,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790043452,2026-09-22 02:17 UTC,sma_1d_30d_v25_v1,28997.49,0.88080058,85650.04,quote_mid,71002.51,0.0,4438.1,70.93,104438.1,72.23,105391.92,-0.905,ok,1
1790043452,2026-09-22 02:17 UTC,rvol2_breakout24h_v25_v1,100000.0,0.0,85650.04,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
1790043452,2026-09-22 02:17 UTC,funding_z168_limit_entry_v1,100000.0,0.0,85650.04,quote_mid,0.0,0.0,0.0,0.0,100000.0,0.0,100000.0,0.0,ok,1
